state,year,beauty_rev,beauty_est,beauty_ent,beauty_emp,beauty_wag,wellness_rev,wellness_est,wellness_ent,wellness_emp,wellness_wag
MN,2018,1816.48622541346,25618,25569,42395,841.07906383441,968.34003125044,2152,2070,20395,345.0114473404
MN,2019,1822.2342149178,25339,25339,40917,830.09559680581,1007.11194673159,2115,2041,20818,363.2760984979
MN,2020,1354.90831711533,24288,24189,40575,659.47793852274,686.85022461574,1910,1810,20858,264.89307613963
MN,2021,1764.04753177258,24862,24862,41113,849.91479304464,808.84904176418,1912,1841,14300,284.61622711428
MN,2022,1789.75755270935,24901,24273,39693,833.43311475431,925.9678301193,1889,1606,16294,319.25292671868
MN,2023,1800.75784482993,25153,24411,39498,829.87146179673,883.68408666263,1812,1557,15775,308.38245475289
MN,2024,1783.02016543867,25299,24498,38904,815.66115277709,892.01936548582,1774,1534,15824,309.35250538154
MO,2007,878.17687631811,15550,15550,22187,381.79657971337,352.58509594062,1808,1800,9640,125.59192423731
MO,2008,942.46025777426,15772,15772,22406,376.21697648445,421.03027315055,1803,1742,10444,132.59089688333
MO,2009,921.65515280954,16843,16835,24029,395.20674189959,422.43650623541,1747,1684,10460,128.88840694447
MO,2010,952.01175351336,18127,18127,25401,393.04809662034,408.02302022785,1696,1663,10355,130.82629815828
MO,2011,956.21811818471,19070,19070,26662,412.99665210693,416.74271589765,1717,1687,10519,134.57322424171
MO,2012,921.68925585706,18199,17827,25429,383.74205352211,395.24681923518,1780,1777,10816,133.63859409488
MO,2013,962.54392088466,18334,17801,25415,359.04759107189,405.91972895089,1756,1756,11127,138.03039340884
MO,2014,972.48960071196,18480,17949,26138,391.5434772737,445.57784551437,1785,1764,11794,149.31109143897
MO,2015,985.79913861081,18028,17392,25690,402.28732374014,466.23539096243,1780,1770,12183,155.82839091786
MO,2016,1012.89854700964,17789,17109,25179,411.9177292151,485.76897825541,1765,1746,12638,163.02145522727
MO,2017,1037.36777812,17738,16770,24698,404.83991618346,504.76147753101,1780,1701,13354,168.04551551722
MO,2018,1088.4731539547,17988,17068,25614,425.14806356614,467.6646831156,1700,1599,13847,172.58793644533
MO,2019,1129.19172216433,18164,17340,26099,444.14989245521,489.09931341374,1768,1667,14195,182.99337519177
MO,2020,876.39410502719,18107,17198,25480,352.53771307231,351.06456195701,1601,1475,14166,134.86945082959
MO,2021,1141.4159797266,18655,17958,26594,461.25793746464,451.50645126198,1685,1576,10031,147.51782325461
MO,2022,1289.30975865268,19073,19073,27382,480.43738497805,607.99658417904,1694,1694,11173,161.10045052116
MO,2023,1293.21481710629,18995,18995,27484,481.79964257369,577.41595151999,1645,1645,10816,155.35581869831
MO,2024,1276.50906123767,18835,18835,27304,477.95601651961,579.96080199873,1630,1630,10847,155.92599016258
MS,2007,189.87830913536,3541,3519,3947,62.26019484702,94.11901558897,565,565,2086,25.33891203492
MS,2008,210.60309195619,3755,3662,3955,60.27630726268,115.31126426091,609,609,2585,30.30231237623
MS,2009,212.30699253697,4147,4060,4311,65.13946547146,123.98670440365,618,618,2885,33.22720219563
MS,2010,220.02081981242,4314,4233,4838,68.19713888253,125.45562654426,633,633,2779,32.53239626859
MS,2011,218.32624513624,4584,4513,4987,69.76503609752,130.14986969579,642,642,2834,33.3085305429
MS,2012,210.36867298208,4496,4434,4496,60.95162554106,135.35462029696,708,708,3077,34.99898585912
MS,2013,233.30957169726,4662,4610,5047,64.60491356904,129.70114399933,672,671,3098,35.42192008931
MS,2014,217.50243722889,4522,4450,4522,59.4541497255,142.68390204528,715,715,3254,37.35089655776
MS,2015,220.56715970889,4470,4388,4470,61.1721199254,153.47509771979,731,724,3508,41.20390520804
MS,2016,231.64094658521,4417,4306,4417,65.39611285929,154.37728180731,761,761,3074,36.5119062331
MS,2017,249.66735007969,4455,4364,4626,68.57793035078,145.97862458359,731,731,2997,34.69193114562
